학년도,기간(1),기간(2),총 계,남,여,인문,자연,예체능,재학생,졸업생,검정등,응시수수료(원)
1994 1차,'93. 6. 11~6. 24,(14일간),742668,437465,305203,336941,340252,65475,521806,213459,7403,12000
1994 2차,'93. 10. 2~10. 11,(14일간),750181,444612,305569,342555,343168,64458,496617,243826,9738,12000
1995,'94. 9. 12~9. 27,(16일간),781749,452360,329389,372311,336390,73048,477960,261492,42297,12000
1996,'95. 9. 11~9. 23,(13일간),840661,478707,361954,413958,351719,74984,526833,300482,13346,12000
1997,'96. 9. 2~9. 14,(13일간),824374,472527,351847,393295,356560,74519,545023,268044,11307,12000
1998,'97. 9. 1~9. 13,(12일간),885321,495179,390142,428064,375023,82234,613376,261424,10521,12000
1999,'98. 9. 1~9. 15,(14일간),868643,475625,393018,426423,346736,95484,623130,233893,11620,12000
2000,'99. 9. 1~9. 11,(10일간),896122,483602,412520,466651,310105,119366,631745,250064,14313,15000
2001,'00. 9. 1~9. 16,(14일간),872297,465546,406751,481027,256608,134662,603238,254538,14521,20000
2002,'01. 8. 27~9. 8,(12일간),739129,390473,348656,416700,198963,123466,541662,185946,11521,20000
2003,'02. 8. 28~9. 10,(12일간),675922,356418,319504,365892,204790,105240,482089,179880,13953,22000
2004,'03. 8. 27~9. 16,(12일간),674154,357421,316733,361002,211253,101899,476129,184317,13708,22000
2005,'04. 8. 31~9. 15,(12일간),610257,324700,285557,계열구분 없음,계열구분 없음,계열구분 없음,435538,161524,13195,"3개영역 이하: 31,000, 4개 영역 : 36,000, 5개 영역 : 47,000"
2006,'05. 8. 30~9. 14,(12일간),593806,314323,279483,계열구분 없음,계열구분 없음,계열구분 없음,422310,159190,12306,"3개영역 이하: 37,000, 4개 영역 : 42,000, 5개 영역 : 47,000"
2007,'06. 8. 29~9. 13,(12일간),588899,313715,275184,계열구분 없음,계열구분 없음,계열구분 없음,425396,151697,11806,"3개영역 이하: 37,000, 4개 영역 : 42,000, 5개 영역 : 47,000"
2008,'07. 8. 28~9. 12,(12일간),584934,312064,272870,계열구분 없음,계열구분 없음,계열구분 없음,446597,126729,11608,"3개영역 이하: 37,000, 4개 영역 : 42,000, 5개 영역 : 47,000"
2009,'08. 9. 1~9. 17,(12일간),588839,313002,275837,계열구분 없음,계열구분 없음,계열구분 없음,448472,127586,12781,"3개영역 이하: 37,000, 4개 영역 : 42,000, 5개 영역 : 47,000"
2010,'09. 8. 26~9.10,(12일간),677834,358142,319692,계열구분 없음,계열구분 없음,계열구분 없음,532436,130658,14740,"3개영역 이하: 37,000, 4개 영역 : 42,000, 5개 영역 : 47,000"
2011,'10. 8. 25~9. 9,(12일간),712227,379385,332842,계열구분 없음,계열구분 없음,계열구분 없음,541880,154661,15686,"3개영역 이하: 37,000, 4개 영역 : 42,000, 5개 영역 : 47,000"
2012,'11. 8. 24~9. 8,(12일간),693631,371771,321860,계열구분 없음,계열구분 없음,계열구분 없음,526418,151887,15326,"3개영역 이하: 37,000, 4개 영역 : 42,000, 5개 영역 : 47,000"
2013,'12. 8. 22~9. 6,(12일간),668522,356924,311598,계열구분 없음,계열구분 없음,계열구분 없음,510972,142561,14989,"3개영역 이하: 37,000, 4개 영역 : 42,000, 5개 영역 : 47,000"
2014,'13. 8. 22~9. 6,(12일간),650747,342776,307971,계열구분 없음,계열구분 없음,계열구분 없음,509081,127634,14032,"3개영역 이하: 37,000, 4개 영역 : 42,000, 5개 영역 : 47,000"
2015,'14. 8. 25.~9. 12.,(12일간),640621,333204,307417,계열구분 없음,계열구분 없음,계열구분 없음,495027,131539,14055,"3개영역 이하: 37,000, 4개 영역 : 42,000, 5개 영역 : 47,000"
2016,'15. 8. 27.~9. 11.,(12일간),631187,323783,307404,계열구분 없음,계열구분 없음,계열구분 없음,482054,136090,13043,"3개영역 이하: 37,000, 4개 영역 : 42,000, 5개 영역 : 47,000"
2017,'16. 8. 25.~9. 9.,(12일간),605987,310451,295536,계열구분 없음,계열구분 없음,계열구분 없음,459342,135120,11525,"4개영역 이하: 37,000, 5개 영역 : 42,000, 6개 영역 : 47,000"
2018,'17. 8. 24.~9. 8.,(12일간),593527,303620,289907,계열구분 없음,계열구분 없음,계열구분 없음,444873,137533,11121,"4개영역 이하: 37,000, 5개 영역 : 42,000, 6개 영역 : 47,000"
2019,18. 8. 23.~9. 7.,(12일간),594924,306141,288783,계열구분 없음,계열구분 없음,계열구분 없음,448111,135482,11331,"4개영역 이하: 37,000, 5개 영역 : 42,000, 6개 영역 : 47,000"
